epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.4647,1.89413,3.4193,1.3239,0.50998,0.47878,0.5146,0.23993,1.71823,2.40824,1.29789,0.000474924,0.000474924,0.000474924
2,142.68,1.75155,1.74815,1.31858,0.69672,0.64691,0.7311,0.368,1.59325,1.69027,1.26193,0.000932422,0.000932422,0.000932422
3,207.809,1.71722,1.47516,1.30882,0.65472,0.52005,0.61587,0.32189,1.62777,1.82196,1.28775,0.00137106,0.00137106,0.00137106
4,273.279,1.69868,1.40028,1.31562,0.75197,0.62786,0.70814,0.35962,1.59736,1.66065,1.29383,0.00134412,0.00134412,0.00134412
5,341.578,1.65301,1.30001,1.27871,0.66373,0.64134,0.67944,0.37025,1.62256,1.45734,1.30332,0.00131582,0.00131582,0.00131582
6,431.379,1.61867,1.26201,1.26643,0.72212,0.62147,0.69302,0.35782,1.62416,1.51148,1.2986,0.00128753,0.00128753,0.00128753
7,509.586,1.61034,1.21894,1.26716,0.76249,0.74121,0.80292,0.41005,1.56227,1.42937,1.26424,0.00125923,0.00125923,0.00125923
8,577.559,1.57758,1.16799,1.25188,0.83085,0.78557,0.84429,0.45045,1.61281,1.13966,1.2948,0.00123094,0.00123094,0.00123094
9,645.338,1.54874,1.12113,1.23401,0.87072,0.84911,0.89784,0.48422,1.55678,1.0516,1.28189,0.00120265,0.00120265,0.00120265
10,713.318,1.54479,1.11131,1.23046,0.86659,0.84479,0.88368,0.49663,1.43752,1.24009,1.20057,0.00117435,0.00117435,0.00117435
11,781.469,1.52201,1.08978,1.2146,0.81263,0.80575,0.85034,0.46269,1.48832,1.18564,1.22024,0.00114606,0.00114606,0.00114606
12,849.395,1.51499,1.06604,1.21348,0.87513,0.83752,0.89251,0.51538,1.46634,1.14023,1.21384,0.00111776,0.00111776,0.00111776
13,917.669,1.49478,1.05367,1.19552,0.84793,0.89221,0.90442,0.54228,1.41204,1.00343,1.19037,0.00108947,0.00108947,0.00108947
14,985.823,1.47981,1.02443,1.19173,0.86273,0.87425,0.90013,0.52554,1.4254,1.05512,1.19863,0.00106118,0.00106118,0.00106118
15,1053.95,1.46427,1.02209,1.18458,0.86777,0.8926,0.91279,0.53475,1.40066,1.04765,1.17181,0.00103288,0.00103288,0.00103288
16,1122.08,1.45612,0.99175,1.17615,0.90486,0.91312,0.93142,0.56926,1.36364,0.93474,1.17272,0.00100459,0.00100459,0.00100459
17,1190.26,1.43697,0.98366,1.17369,0.87962,0.89948,0.92256,0.54478,1.38329,0.99467,1.17234,0.000976293,0.000976293,0.000976293
18,1258.45,1.42651,0.97148,1.17081,0.84821,0.86385,0.89386,0.55691,1.36213,0.98552,1.15197,0.000947999,0.000947999,0.000947999
19,1326.51,1.42113,0.94357,1.16616,0.89815,0.91842,0.92905,0.58538,1.34361,0.90296,1.14395,0.000919704,0.000919704,0.000919704
20,1394.67,1.40479,0.9444,1.15806,0.89505,0.92216,0.94637,0.59714,1.33675,0.86306,1.14424,0.00089141,0.00089141,0.00089141
21,1463.06,1.3991,0.93416,1.1563,0.83381,0.87885,0.88064,0.52719,1.46852,1.12579,1.19593,0.000863116,0.000863116,0.000863116
22,1531.19,1.38656,0.92121,1.14524,0.8989,0.90862,0.93449,0.57887,1.38195,0.92774,1.15895,0.000834822,0.000834822,0.000834822
23,1599.36,1.38046,0.90774,1.14644,0.91307,0.90326,0.94101,0.56775,1.43952,0.91243,1.17184,0.000806528,0.000806528,0.000806528
24,1667.68,1.37247,0.88725,1.14471,0.90989,0.9198,0.94372,0.61566,1.3004,0.82295,1.12184,0.000778233,0.000778233,0.000778233
25,1735.77,1.35948,0.89653,1.13601,0.89723,0.93615,0.95259,0.62209,1.29195,0.80584,1.11656,0.000749939,0.000749939,0.000749939
26,1803.86,1.35213,0.87698,1.12868,0.90775,0.92365,0.95193,0.59887,1.36795,0.84057,1.14048,0.000721645,0.000721645,0.000721645
27,1872.11,1.33969,0.86856,1.12869,0.93564,0.92536,0.94558,0.62341,1.28493,0.79575,1.11365,0.000693351,0.000693351,0.000693351
28,1940.46,1.32892,0.8497,1.12127,0.90705,0.93683,0.95298,0.61712,1.30314,0.80242,1.12,0.000665057,0.000665057,0.000665057
29,2008.82,1.31583,0.84733,1.11842,0.93126,0.93602,0.95656,0.63649,1.25159,0.73234,1.09747,0.000636762,0.000636762,0.000636762
30,2076.98,1.31512,0.83898,1.11509,0.93557,0.91933,0.95527,0.63845,1.26335,0.77623,1.10742,0.000608468,0.000608468,0.000608468
31,2144.31,1.30103,0.82881,1.1072,0.90861,0.9192,0.94788,0.63417,1.27502,0.76359,1.10118,0.000580174,0.000580174,0.000580174
32,2208.97,1.29529,0.82208,1.10248,0.91208,0.93997,0.95526,0.63877,1.23043,0.72746,1.0967,0.00055188,0.00055188,0.00055188
33,2274.12,1.27164,0.79755,1.10198,0.92095,0.93539,0.95998,0.63243,1.3353,0.73787,1.12099,0.000523586,0.000523586,0.000523586
34,2338.91,1.27884,0.79765,1.09934,0.91813,0.93015,0.96225,0.62902,1.34899,0.75049,1.13436,0.000495291,0.000495291,0.000495291
35,2401.55,1.2617,0.79333,1.08424,0.91851,0.94759,0.96182,0.65073,1.2385,0.72692,1.09076,0.000466997,0.000466997,0.000466997
36,2462.5,1.26101,0.79235,1.09118,0.91656,0.94895,0.96391,0.65996,1.2445,0.72556,1.085,0.000438703,0.000438703,0.000438703
37,2523.3,1.24659,0.78206,1.08161,0.90811,0.93419,0.95873,0.646,1.2741,0.72646,1.09236,0.000410409,0.000410409,0.000410409
38,2584.64,1.23659,0.77055,1.07908,0.92081,0.942,0.95728,0.66626,1.20815,0.70613,1.07937,0.000382115,0.000382115,0.000382115
39,2648.81,1.23044,0.76688,1.07463,0.91441,0.94813,0.95726,0.67161,1.2076,0.69522,1.07518,0.00035382,0.00035382,0.00035382
40,2713.65,1.21286,0.75445,1.07008,0.92972,0.94903,0.9627,0.67447,1.17621,0.6654,1.06317,0.000325526,0.000325526,0.000325526
41,2799.33,1.17151,0.69093,1.08357,0.93718,0.9405,0.96175,0.66888,1.20451,0.65926,1.07094,0.000297232,0.000297232,0.000297232
42,2867.47,1.1537,0.67146,1.07919,0.92971,0.95241,0.96542,0.68316,1.16181,0.64388,1.05534,0.000268938,0.000268938,0.000268938
43,2943.04,1.14073,0.65089,1.06855,0.93167,0.94342,0.96504,0.68058,1.18608,0.66013,1.06472,0.000240644,0.000240644,0.000240644
44,3018.38,1.13037,0.64984,1.06199,0.92908,0.93764,0.96445,0.68874,1.1778,0.64481,1.06068,0.000212349,0.000212349,0.000212349
45,3093.72,1.11614,0.64028,1.05598,0.92522,0.93913,0.96629,0.6858,1.17997,0.63407,1.05961,0.000184055,0.000184055,0.000184055
46,3169.4,1.10832,0.63424,1.04928,0.93225,0.94284,0.96725,0.69228,1.15997,0.61892,1.05397,0.000155761,0.000155761,0.000155761
47,3245.09,1.09686,0.62541,1.05011,0.92789,0.94237,0.96552,0.69489,1.14935,0.61911,1.05254,0.000127467,0.000127467,0.000127467
48,3320.73,1.0834,0.61989,1.04885,0.92485,0.95059,0.96659,0.69775,1.15292,0.61208,1.0536,9.91726e-05,9.91726e-05,9.91726e-05
49,3396.85,1.08028,0.61324,1.04507,0.92446,0.95135,0.96685,0.70274,1.15121,0.60514,1.05182,7.08784e-05,7.08784e-05,7.08784e-05
50,3473.65,1.06663,0.60612,1.03725,0.92817,0.95115,0.96654,0.70011,1.14308,0.60559,1.0493,4.25842e-05,4.25842e-05,4.25842e-05
